year,month,interest_rate,unemployment_rate,index_price
2023,1,4.5,5.2,2800
2023,2,4.6,5.1,2820
2023,3,4.7,5.0,2840
2023,4,4.8,4.9,2860
2023,5,4.7,4.8,2880
2023,6,4.6,4.7,2900
2023,7,4.5,4.6,2920
2023,8,4.4,4.5,2940
2023,9,4.3,4.4,2960
2023,10,4.2,4.3,2980
2023,11,4.1,4.2,3000
2023,12,4.0,4.1,3020
2024,1,4.1,4.2,3010
2024,2,4.2,4.3,2990
2024,3,4.3,4.4,2970
2024,4,4.4,4.5,2950
2024,5,4.5,4.6,2930
2024,6,4.6,4.7,2910
2024,7,4.7,4.8,2890
2024,8,4.8,4.9,2870
2024,9,4.7,5.0,2850
2024,10,4.6,5.1,2830
2024,11,4.5,5.2,2810
2024,12,4.4,5.3,2790
